"category","icon_name"
"email","email-mailbox"
"email-mailbox","email-mailbox-close"
"email-mailbox","email-mailbox-open"
"email","email-stamp-mail"
"email","email-tray"
"entertainment-events-hobbies","entertainment-events-hobbies-board-game-dice"
"entertainment-events-hobbies","entertainment-events-hobbies-bomb"
"entertainment-events-hobbies","entertainment-events-hobbies-card-game-card-club"
"entertainment-events-hobbies-chess","entertainment-events-hobbies-chess-knight"
"entertainment-events-hobbies-chess","entertainment-events-hobbies-chess-pawn"
"entertainment-events-hobbies-chess","entertainment-events-hobbies-chess-rook"
"entertainment-events-hobbies","entertainment-events-hobbies-game-pool-snooker-ball"
"entertainment-events-hobbies","entertainment-events-hobbies-glasses-3d"
"entertainment-events-hobbies","entertainment-events-hobbies-horror-ghost"
"entertainment-events-hobbies","entertainment-events-hobbies-popcorn"
"entertainment-events-hobbies","entertainment-events-hobbies-reward-winner-talent"
"entertainment-events-hobbies","entertainment-events-hobbies-ticket"
"entertainment-events-hobbies-video-camera-film","entertainment-events-hobbies-video-camera-film-1"
"entertainment-events-hobbies-video-camera-film","entertainment-events-hobbies-video-camera-film-2"
"entertainment-events-hobbies-video-camera-film","entertainment-events-hobbies-video-camera-film-3"
"entertainment-events-hobbies-video","entertainment-events-hobbies-video-movie-producer-director-chair"
"food-drink","food-drink-bread"
"food-drink","food-drink-coffee"
"food-drink-coffee","food-drink-coffee-cup"
"food-drink-desert","food-drink-desert-cake"
"food-drink-desert-cake","food-drink-desert-cake-pond"
"food-drink-desert","food-drink-desert-cotton-candy"
"food-drink-desert","food-drink-desert-cupcake"
"food-drink-desert","food-drink-desert-donut"
"food-drink-desert","food-drink-desert-icecream"
"food-drink","food-drink-egg"
"food-drink","food-drink-fish"
"food-drink-fish","food-drink-fish-bone"
"food-drink","food-drink-fried-chicken"
"food-drink","food-drink-fruit-cherry"
"food-drink","food-drink-hamburger"
"food-drink","food-drink-milk"
"food-drink","food-drink-pizza"
"food-drink","food-drink-rice-ball"
"food-drink","food-drink-sushi"
"food-drink","food-drink-tea"
"hand","hand"
"hand","hand-awesome"
"hand","hand-cross-finger-heart"
"hand","hand-dislike"
"hand","hand-fight-2-finger"
"hand","hand-fiist"
"hand","hand-four"
"hand","hand-fuck-middle-finger"
"hand","hand-gesture-finger-click"
"hand","hand-like"
"hand","hand-little-finger"
"hand","hand-love"
"hand-love","hand-love-sign"
"hand","hand-ok"
"hand","hand-three-finger"
"hand","hand-writing"
"hand","hand-zombie"
"hand","hand-zoom"
"health-ambulance","health-ambulance-call"
"health-ambulance","health-ambulance-car"
"health","health-anti-virus"
"health","health-bandage"
"health","health-blood-drop-type"
"health-brain","health-brain-1"
"health-brain","health-brain-2"
"health","health-dentistry-tooth"
"health-drug","health-drug-medicine"
"health-drug-medicine-bag-aid","health-drug-medicine-bag-aid-1"
"health-drug-medicine-bag-aid","health-drug-medicine-bag-aid-2"
"health-drug-medicine","health-drug-medicine-water"
"health-drugs","health-drugs-cannabis"
"health-drugs","health-drugs-pill"
"health","health-health-dead"
"health-hospital-building","health-hospital-building-1"
"health-hospital-building","health-hospital-building-2"
"health","health-injection"
"health","health-laboratory"
"health-laboratory-test","health-laboratory-test-blood-sugar"
"health-laboratory-test","health-laboratory-test-stool-cup"
"health","health-medical-notes"
"health","health-monitor-heart-beat"
"health","health-stool"
"health","health-transfusion-bag"
"health","health-virus"
"interface-essential-alarm-bell","interface-essential-alarm-bell-off"
"interface-essential-alarm-bell","interface-essential-alarm-bell-sleep"
"interface-essential","interface-essential-alert"
"interface-essential-alert-circle","interface-essential-alert-circle-1"
"interface-essential-alert-circle","interface-essential-alert-circle-2"
"interface-essential","interface-essential-battery"
"interface-essential","interface-essential-blutooth"
"interface-essential","interface-essential-bookmark"
"interface-essential","interface-essential-bookmark_1"
"interface-essential","interface-essential-call-center-contact-help"
